N,d_0.0,d_0.1,d_0.2,d_0.3,d_0.4,d_0.5,d_0.6,d_0.7,d_0.8,d_0.9,d_1.0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,87
3,0,0,0,0,131,136,137,145,144,141,143
4,0,0,183,188,189,196,196,184,194,193,195
5,0,235,227,240,220,249,240,233,227,248,244
6,0,282,283,286,295,287,291,286,281,291,280
7,0,340,351,333,333,337,343,333,337,345,326
8,0,361,395,379,394,365,373,369,394,393,378
9,0,431,436,426,422,421,424,430,428,437,430
10,0,459,474,488,481,482,475,469,481,467,485
11,0,547,524,521,529,527,532,551,512,535,528
12,0,554,567,566,564,564,566,562,578,578,573
13,0,626,622,634,611,625,606,611,631,602,620
14,0,667,670,669,665,669,694,694,680,675,666
15,0,710,715,705,721,714,719,715,724,722,705
16,0,771,766,759,779,805,769,776,768,761,783
17,0,805,818,824,819,809,825,827,808,812,808
18,0,879,875,861,874,846,844,870,848,868,863
19,0,916,926,917,912,912,934,925,909,914,913
20,0,956,987,959,963,974,972,960,964,963,968
30,0,1432,1444,1452,1445,1443,1449,1433,1396,1417,1432
40,0,1908,1900,1911,1919,1916,1923,1905,1896,1913,1915
50,0,2409,2424,2375,2401,2412,2382,2383,2371,2408,2416
60,0,2873,2881,2855,2854,2883,2843,2886,2895,2888,2889
70,0,3326,3338,3335,3403,3339,3353,3386,3356,3359,3322
80,0,3881,3786,3829,3790,3816,3873,3859,3831,3850,3845
90,0,4299,4273,4329,4240,4283,4345,4289,4323,4369,4323
100,0,4767,4849,4782,4755,4827,4806,4777,4772,4812,4759
125,0,6011,6045,5974,6030,6013,5986,6025,5972,5976,5997
150,0,7227,7140,7209,7261,7126,7212,7197,7167,7165,7226
175,0,8325,8415,8393,8355,8346,8412,8385,8432,8370,8385
200,0,9576,9572,9646,9585,9662,9535,9551,9618,9624,9582
225,0,10835,10750,10799,10814,10779,10774,10788,10781,10782,10858
250,0,12057,12095,11942,11983,11988,11978,11984,11874,11928,11975
275,0,13236,13112,13182,13125,13206,13106,13218,13159,13208,13235
300,0,14456,14447,14288,14442,14385,14436,14414,14479,14329,14400
325,0,15605,15503,15562,15543,15572,15597,15580,15582,15535,15604
350,0,16832,16739,16790,16749,16734,16928,16703,16875,16852,16905
375,0,17904,17951,17985,17941,17994,17929,17958,17901,17956,17999
400,0,19159,19251,19204,19208,19262,19207,19187,19231,19248,19323
425,0,20413,20449,20417,20401,20397,20414,20389,20427,20347,20349
450,0,21525,21596,21692,21606,21549,21644,21547,21685,21564,21544
475,0,22810,22772,22848,22775,22935,22833,22753,22765,22854,22780
500,0,24096,23970,24101,23993,24044,24076,24096,23952,23965,23957
