N,d_0.0,d_0.1,d_0.2,d_0.3,d_0.4,d_0.5,d_0.6,d_0.7,d_0.8,d_0.9,d_1.0
0,0,0,0,0,0,0,0,0,0,0,0
1,48,48,48,48,48,48,48,48,48,48,48
2,91,91,91,91,91,91,91,91,91,91,91
3,144,144,144,144,144,144,144,144,144,144,144
4,191,191,191,191,191,191,191,191,191,191,191
5,239,239,239,239,239,239,239,239,239,239,239
6,290,290,290,290,290,290,290,290,290,290,290
7,337,337,337,337,337,330,330,330,330,330,330
8,376,376,376,376,376,376,376,376,376,376,376
9,423,423,423,423,423,423,423,423,423,423,423
10,469,469,469,469,469,469,469,469,469,469,469
11,514,514,514,514,514,514,514,514,514,514,514
12,558,558,558,558,558,558,558,558,558,558,558
13,601,601,601,601,601,601,601,601,601,601,601
14,646,646,646,646,646,646,646,646,646,646,646
15,692,692,692,692,692,692,692,692,692,692,692
16,741,741,741,741,741,741,741,741,741,741,741
17,786,786,786,786,786,786,786,786,786,786,786
18,833,833,833,833,833,833,833,833,833,833,833
19,880,880,880,880,880,880,880,880,880,880,880
20,929,929,929,929,929,929,929,929,929,929,929
30,1414,1414,1426,1426,1426,1426,1426,1426,1426,1426,1426
40,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
50,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368
60,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855
70,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336
80,3829,3829,3829,3829,3829,3829,3829,3829,3829,3829,3829
90,4306,4306,4306,4306,4306,4306,4306,4306,4306,4306,4306
100,4792,4792,4792,4792,4792,4792,4792,4792,4792,4792,4792
125,5991,5991,5991,5991,5991,5991,5991,5991,5991,5991,5991
150,7181,7181,7181,7181,7181,7181,7181,7181,7181,7181,7181
175,8383,8383,8383,8383,8383,8383,8383,8383,8383,8383,8383
200,9590,9590,9590,9590,9590,9590,9590,9590,9590,9590,9590
225,10814,10814,10814,10814,10814,10814,10814,10814,10814,10738,10738
250,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927
275,13160,13160,13160,13160,13160,13160,13160,13160,13160,13160,13160
300,14350,14350,14443,14443,14443,14443,14443,14443,14443,14443,14443
325,15628,15628,15628,15628,15628,15628,15628,15628,15628,15628,15628
350,16759,16759,16759,16759,16759,16759,16759,16759,16759,16759,16759
375,17954,17954,17954,17954,17954,17937,17937,17937,17937,17937,17937
400,19147,19147,19147,19147,19147,19147,19147,19147,19208,19208,19208
425,20403,20403,20403,20403,20403,20403,20403,20403,20403,20389,20389
450,21575,21575,21575,21575,21575,21575,21575,21575,21575,21597,21597
475,22817,22817,22817,22817,22817,22817,22817,22817,22729,22729,22729
500,23924,23924,23924,23924,23924,23924,23924,23970,23970,23970,23970
