N,d_0.0,d_0.1,d_0.2,d_0.3,d_0.4,d_0.5,d_0.6,d_0.7,d_0.8,d_0.9,d_1.0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,5
3,0,0,0,0,9,9,9,8,8,8,10
4,0,0,9,9,12,11,11,11,11,11,13
5,0,14,14,14,14,17,20,17,19,19,21
6,0,18,17,17,19,22,22,22,22,24,26
7,0,22,20,20,22,28,27,27,27,27,31
8,0,23,23,23,23,25,28,30,30,30,34
9,0,25,25,26,26,26,26,34,33,33,37
10,0,29,29,37,39,45,45,47,47,49,53
11,0,32,34,42,42,42,53,50,52,52,58
12,0,35,37,45,47,47,49,55,57,57,63
13,0,38,40,48,50,51,51,56,59,61,67
14,0,41,41,43,51,53,55,55,63,65,71
15,0,43,44,44,46,56,58,58,64,68,74
16,0,45,47,47,47,62,59,61,66,71,77
17,0,50,65,77,79,81,82,84,91,95,103
18,0,53,70,70,82,86,88,88,97,101,109
19,0,56,73,75,77,89,91,93,102,106,114
20,0,59,78,79,79,91,95,97,108,110,118
30,0,115,119,119,139,143,147,163,169,181,195
40,0,158,159,191,195,199,226,232,252,267,289
50,0,239,245,247,283,289,295,327,351,361,397
60,0,179,233,239,283,291,329,339,373,403,443
70,0,278,335,343,349,404,448,460,499,533,580
80,0,239,304,312,374,386,441,487,501,566,619
90,0,357,359,439,508,521,581,635,651,723,783
100,0,299,381,393,473,485,559,623,681,737,821
125,0,611,624,728,742,842,930,1010,1080,1148,1254
150,0,731,747,876,996,1016,1127,1229,1322,1449,1574
175,0,857,874,1030,1176,1310,1432,1542,1646,1784,1930
200,0,991,1168,1190,1362,1523,1671,1808,2027,2119,2325
225,0,674,887,1091,1282,1460,1627,1783,2020,2209,2431
250,0,979,1209,1237,1459,1665,2003,2171,2329,2631,2875
275,0,1099,1355,1606,1842,2065,2273,2606,2777,3032,3364
300,0,1477,1755,2021,2273,2509,2733,2943,3269,3541,3899
325,0,1622,1935,2237,2522,2792,3235,3458,3805,4094,4478
350,0,1392,1723,2048,2354,2645,3132,3380,3769,4195,4595
375,0,1849,2204,2546,2870,3178,3690,3952,4364,4816,5240
400,0,1561,1943,2307,2655,2987,3541,4025,4441,4803,5341
425,0,1699,2115,2854,3219,3569,4154,4453,4934,5481,6050
450,0,2245,2677,3101,3835,4201,4815,5131,5635,6209,6809
475,0,1888,2349,2797,3577,3969,4631,5213,5723,6303,6919
500,0,2477,2962,3432,4249,4660,5351,5960,6495,7102,7749
