N,d_0.0,d_0.1,d_0.2,d_0.3,d_0.4,d_0.5,d_0.6,d_0.7,d_0.8,d_0.9,d_1.0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,5
3,0,0,0,0,8,8,8,7,7,7,8
4,0,0,10,10,11,9,9,11,11,10,11
5,0,12,14,13,11,13,14,12,14,13,14
6,0,14,17,15,15,17,14,16,15,17,17
7,0,18,19,15,19,18,18,19,19,18,20
8,0,20,21,19,22,20,23,21,20,21,23
9,0,24,21,23,22,26,21,24,26,26,26
10,0,28,21,29,24,27,29,26,27,28,29
11,0,32,25,30,30,25,28,31,30,29,32
12,0,35,29,30,35,33,30,31,32,34,35
13,0,37,33,28,33,36,38,38,35,38,38
14,0,37,39,34,31,34,35,34,39,37,41
15,0,39,44,40,39,38,41,44,38,42,44
16,0,39,44,47,47,47,44,39,47,47,47
17,0,41,44,47,46,43,40,49,43,47,50
18,0,41,44,45,42,43,50,46,52,50,53
19,0,41,42,41,46,53,51,52,50,56,56
20,0,41,44,49,56,54,51,53,55,57,59
30,0,89,69,75,83,85,77,83,84,82,89
40,0,84,96,116,95,116,119,104,108,107,119
50,0,147,125,114,123,148,130,142,143,140,149
60,0,129,156,158,171,173,152,153,159,173,179
70,0,202,189,191,192,194,206,203,204,209,209
80,0,176,224,175,188,215,211,200,208,232,239
90,0,255,261,253,224,232,225,266,267,251,269
100,0,225,299,258,288,249,291,245,255,270,299
125,0,348,295,340,290,368,334,348,339,345,374
150,0,402,374,428,404,390,365,432,431,422,449
175,0,375,500,524,479,427,444,445,518,503,524
200,0,500,443,571,455,580,555,540,560,588,599
225,0,666,594,611,639,594,671,666,594,674,674
250,0,607,678,645,648,599,686,657,656,735,749
275,0,608,589,671,666,784,689,718,766,792,824
300,0,825,836,689,896,806,740,883,884,845,899
325,0,881,834,705,795,765,879,881,939,896,974
350,0,762,801,807,899,982,1030,884,955,945,1049
375,0,923,1100,917,1074,1026,1056,1073,963,1022,1124
400,0,1199,968,1035,920,923,1031,1119,1079,1115,1199
425,0,1046,1035,1159,1154,1174,1018,1048,1215,1210,1274
450,0,979,1313,1289,1223,1252,1185,1249,1340,1307,1349
475,0,1288,1080,1422,1091,1105,1364,1371,1338,1408,1424
500,0,1374,1291,1426,1431,1358,1444,1274,1328,1486,1499
